Year,Station Number,City,Location,Type,Valid Hour,10th Percentile,30th Percentile,50th Percentile,70th Percentile,90th Percentile,99 Percentile,Mean,1-Hour Maximum,24-Hour  Maximum,No. of Times Above 1-Hour Criterion,
2019,12016,Windsor West,College Ave./South St.,A,8635,10,20,27,34,44,61,27.3,80,48.5,0,
2019,13001,Chatham,435 Grand Ave. W.,A,8724,14,23,29,35,44,59,29.2,76,52.6,0,
2019,14111,Sarnia,700 Christina St. N.,A,8675,14,23,29,36,45,62,29.2,87,56.3,4,
2019,15020,Grand Bend,Point Blake Conservation Area,A,8528,17,26,32,37,45,60,31.6,85,52.5,7,
2019,15026,London,42 St. Julien St.,A,8694,9,21,27,33,43,55,26.8,70,49.3,0,
2019,16015,Port Stanley,"43665 Dexter Line, Elgin Water T. Plant",A,8666,17,26,32,38,48,61,32.3,77,55.9,0,
2019,18007,Tiverton,4th Concession/Bruce Rd. 23,A,8694,18,25,31,37,43,56,31.1,81,54.3,1,
2019,21005,Brantford,324 Grand River Ave.,A,8680,10,21,28,34,44,56,27.5,74,49.3,0,
2019,26060,Kitchener,West Ave./Homewood Ave.,A,8697,11,21,27,33,43,55,27.2,77,47.2,0,
2019,27067,St. Catharines,"Argyle Cres., Pump Stn.",A,8704,12,23,29,35,43,56,28.4,70,47.5,0,
2019,28028,Guelph,Exhibition St./Clark St. W.,A,8690,11,21,27,33,41,53,26.3,74,47.2,0,
2019,29000,Hamilton Downtown,Elgin St./Kelly St.,A,8677,7,18,24,31,40,53,24.4,65,47.3,0,
2019,29118,Hamilton West,Main St. W./Hwy 403,A,8689,4,17,24,31,40,52,23.6,65,46.2,0,
2019,29214,Hamilton Mountain,250 Fennell Ave. W.,A,8747,12,21,27,33,43,56,27.5,70,51.3,0,
2019,31103,Toronto Downtown,Bay St./Wellesley St. W.,A,2827,13,22,28,34,40,49,INS,INS,INS,0,
2019,31129,Toronto Downtown,55 John St.,A,4589,7,15,20,25,37,55,INS,76,46.0,0,
2019,33003,Toronto East,Kennedy Rd./Lawrence Ave. E.,A,8667,9,19,25,31,39,51,24.6,67,46.7,0,
2019,34021,Toronto North,"4905 Dufferin St., ECCC",A,8585,7,17,24,31,40,53,24.1,77,43.1,0,
2019,35125,Toronto West,125 Resources Rd.,A,8463,4,15,22,28,38,55,21.8,77,44.2,0,
2019,44008,Burlington,North Shore Blvd. E./Lakeshore Rd.,A,8694,9,20,27,34,42,56,26.6,74,46.8,0,
2019,44017,Oakville,"Eighth Line/Glenashton Dr., Halton Res.",A,8685,11,21,27,33,42,56,27.1,71,49.7,0,
2019,44029,Milton,1120 Main St. E.,A,8573,8,21,27,34,43,58,26.9,77,49.9,0,
2019,45027,Oshawa,"Brittania Ave. W., EP Taylor Stables",A,8706,9,20,25,30,37,51,24.4,66,39.5,0,
2019,46090,Brampton,109 McLaughlin Rd. S.,A,8611,9,20,27,33,42,55,26.5,72,49.4,0,
2019,46108,Mississauga,"3359 Mississauga Rd. N., U of T Campus",A,8717,5,18,25,32,41,53,24.5,65,47.5,0,
2019,47045,Barrie,83 Perry St.,A,8712,9,20,26,33,40,51,25.7,75,46.8,0,
2019,48006,Newmarket,Eagle St. W./McCaffrey Rd.,A,8642,13,22,28,34,41,54,27.8,88,48.0,4,
2019,49005,Parry Sound,7 Bay St.,A,8682,16,25,30,36,43,54,29.8,68,48.3,0,
2019,49010,Dorset,1026 Bellwood Acres Rd.,A,8671,10,22,28,35,42,52,27.5,64,47.0,0,
2019,51001,Ottawa Downtown,Rideau St./Wurtemburg St.,A,8725,11,20,26,32,39,49,25.9,57,45.9,0,
2019,51010,Petawawa,Petawawa Research Forest Facility,A,8746,12,22,28,34,41,49,27.3,58,47.3,0,
2019,52023,Kingston,23 Beechgrove Lane,A,8680,16,25,30,35,43,55,29.9,68,50.8,0,
2019,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8743,15,24,30,35,43,56,29.6,73,50.8,0,
2019,56051,Cornwall,Bedford St./3rd St. W.,A,8686,12,22,28,33,40,50,26.9,58,45.7,0,
2019,59006,Peterborough,10 Hospital Dr.,A,8684,14,23,28,34,42,53,28.3,68,47.7,0,
2019,63203,Thunder Bay,421 James St. S.,A,8695,8,18,24,30,37,48,23.7,56,46.8,0,
2019,71078,Sault Ste. Marie,Sault College,A,8652,15,23,28,34,41,51,28.1,61,50.3,0,
2019,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8722,11,21,27,32,40,50,26.4,63,45.9,0,
2019,77233,Sudbury,155 Elm St.,A,8607,12,21,27,32,39,49,26.3,75,45.8,0,
2019,81103,Toronto Downtown,Wallberg Building U of T,A,1191,14,25,31,36,43,54,INS,64,44.0,0,
2018,12008,Windsor Downtown,467 University Ave. W.,A,8379,9,19,26,33,46,68,26.9,89,54,10,
2018,12016,Windsor West,College Ave./South St.,A,8716,8,19,26,34,46,67,27.0,90,56,13,
2018,13001,Chatham,435 Grand Ave. W.,A,8737,14,22,28,34,44,61,28.7,78,53,0,
